player_name,team_name,match_no,tackles,recoveries,gk_saves
Arda Guler,Türkiye,32,1,1,0
Arda Guler,Türkiye,60,2,4,0
Ardon Jashari,Switzerland,5,0,0,0
Ardon Jashari,Switzerland,96,1,0,0
Ardon Jashari,Switzerland,100,0,0,0
Aria Yousefi,Iran,16,0,3,0
Arjan Malic,Bosnia and Herzegovina,49,1,1,0
Armando Gonzalez,Mexico,1,0,0,0
Armando Obispo,Curaçao,9,2,5,0
Armando Obispo,Curaçao,35,1,4,0
Armando Obispo,Curaçao,55,0,5,0
Armin Gigovic,Bosnia and Herzegovina,3,2,3,0
Armin Gigovic,Bosnia and Herzegovina,82,0,1,0
Arthur Masuaku,DR Congo,21,1,3,0
Arthur Masuaku,DR Congo,48,1,5,0
Arthur Masuaku,DR Congo,70,2,12,0
Arthur Masuaku,DR Congo,80,4,4,0
Arthur Theate,Belgium,38,0,1,0
Arthur Theate,Belgium,66,1,0,0
Arthur Theate,Belgium,81,0,4,0
Assane Diao,Senegal,62,1,1,0
Assim Madibo,Qatar,5,0,2,0
Assim Madibo,Qatar,27,1,1,0
Aubrey Modiba,South Africa,1,3,0,0
Aubrey Modiba,South Africa,25,6,6,0
Aubrey Modiba,South Africa,54,1,2,0
Aubrey Modiba,South Africa,73,1,4,0
Aurélien Tchouaméni,France,17,3,6,0
Aurélien Tchouaméni,France,61,7,6,0
Aurélien Tchouaméni,France,78,3,7,0
Aurélien Tchouaméni,France,101,4,3,0
Auston Trusty,USA,29,0,0,0
Auston Trusty,USA,60,1,3,0
Awer Mabil,Australia,86,0,3,0
Axel Tuanzebe,DR Congo,21,1,2,0
Axel Tuanzebe,DR Congo,48,1,2,0
Axel Tuanzebe,DR Congo,70,1,6,0
Axel Tuanzebe,DR Congo,80,2,3,0
Axel Witsel,Belgium,94,0,1,0
Axel Witsel,Belgium,98,0,0,0
Ayase Ueda,Japan,10,1,1,0
Ayase Ueda,Japan,36,0,2,0
Ayase Ueda,Japan,57,0,1,0
Ayase Ueda,Japan,74,0,2,0
Aymen Dahmen,Tunisia,36,0,4,1
Aymen Dahmen,Tunisia,58,0,7,4
Aymen Hussein,Iraq,18,0,1,0
Aymen Hussein,Iraq,42,0,0,0
Aymeric Laporte,Spain,13,0,5,0
Aymeric Laporte,Spain,37,1,2,0
Aymeric Laporte,Spain,64,0,2,0
Aymeric Laporte,Spain,83,3,4,0
Aymeric Laporte,Spain,93,0,3,0
Aymeric Laporte,Spain,98,1,6,0
Aymeric Laporte,Spain,101,0,4,0
Aymeric Laporte,Spain,104,0,7,0
Ayoub Al Oui,Qatar,5,0,2,0
Ayoub Al Oui,Qatar,27,1,2,0
Ayoub El Kaabi,Morocco,51,3,1,0
Ayoube Amaimouni Echghouyab,Morocco,6,1,1,0
Ayoube Amaimouni Echghouyab,Morocco,30,0,2,0
Ayumu Seko,Japan,36,0,2,0
Ayumu Seko,Japan,57,1,0,0
Ayyoub Bouaddi,Morocco,6,4,6,0
Ayyoub Bouaddi,Morocco,30,1,4,0
Ayyoub Bouaddi,Morocco,76,2,4,0
Ayyoub Bouaddi,Morocco,89,1,3,0
Ayyoub Bouaddi,Morocco,97,1,4,0
Azarias Londoño,Panama,23,0,4,0
Azarias Londoño,Panama,47,0,0,0
Azarias Londoño,Panama,68,0,0,0
Aziz Behich,Australia,8,0,1,0
Aziz Behich,Australia,59,3,5,0
Aziz Behich,Australia,86,3,5,0
Azizbek Amanov,Uzbekistan,24,0,0,0
Azizjon Ganiev,Uzbekistan,45,3,6,0
Azizjon Ganiev,Uzbekistan,70,5,2,0
Azzedine Ounahi,Morocco,6,0,7,0
Azzedine Ounahi,Morocco,30,1,3,0
Azzedine Ounahi,Morocco,51,0,0,0
Azzedine Ounahi,Morocco,76,0,4,0
Azzedine Ounahi,Morocco,89,0,2,0
Azzedine Ounahi,Morocco,97,2,1,0
Bara Sapoko Ndiaye,Senegal,81,0,1,0
Baris Alper Yilmaz,Turkiye,8,1,0,0
Baris Alper Yilmaz,Türkiye,32,0,1,0
Baris Alper Yilmaz,Türkiye,60,1,2,0
Bart Verbruggen,Netherlands,10,0,5,1
Bart Verbruggen,Netherlands,33,0,7,7
Bart Verbruggen,Netherlands,58,0,6,3
Bart Verbruggen,Netherlands,76,0,8,5
Bazoumana Toure,Ivory Coast,11,0,1,0
Bazoumana Toure,Ivory Coast,55,0,2,0
Bazoumana Toure,Ivory Coast,77,1,1,0
Bekhruz Karimov,Uzbekistan,24,2,7,0
Bekhruz Karimov,Uzbekistan,45,4,8,0
Ben Gannon-Doak,Scotland,7,1,1,0
Ben Gannon-Doak,Scotland,30,0,0,0
Ben Gannon-Doak,Scotland,52,1,1,0
Benjamin Asare,Ghana,23,0,5,3
Benjamin Asare,Ghana,46,0,3,3
Benjamin Asare,Ghana,67,0,10,2
Benjamin Nygren,Sweden,12,0,3,0
Benjamin Nygren,Sweden,33,0,2,0
Benjamin Nygren,Sweden,57,0,1,0
Benjamin Nygren,Sweden,78,0,0,0
Benjamin Old,New Zealand,16,0,0,0
Benjamin Old,New Zealand,40,0,3,0
Benjamin Old,New Zealand,66,0,1,0
Benjamin Tahirovic,Bosnia and Herzegovina,3,3,5,0
Benjamin Tahirovic,Bosnia and Herzegovina,26,0,2,0
Benjamin Tahirovic,Bosnia and Herzegovina,49,2,2,0
Benjamin Tahirovic,Bosnia and Herzegovina,82,1,1,0
Bernardo Silva,Portugal,21,1,1,0
Bernardo Silva,Portugal,45,0,3,0
Bernardo Silva,Portugal,84,0,2,0
Bernardo Silva,Portugal,93,0,1,0
Besfort Zeneli,Sweden,33,1,4,0
Besfort Zeneli,Sweden,78,1,0,0
Bilal El Khannouss,Morocco,6,4,6,0
Bilal El Khannouss,Morocco,30,1,5,0
Bilal El Khannouss,Morocco,51,3,7,0
Bilal El Khannouss,Morocco,76,1,6,0
Bilal El Khannouss,Morocco,89,2,5,0
Bilal El Khannouss,Morocco,97,3,7,0
Bono,Morocco,6,0,7,4
Bono,Morocco,30,0,10,0
Bono,Morocco,51,0,4,1
Bono,Morocco,76,0,5,1
Bono,Morocco,89,0,7,3
Bono,Morocco,97,0,6,6
Borja Iglesias,Spain,93,0,0,0
Boualem Khoukhi,Qatar,5,2,1,0
Boualem Khoukhi,Qatar,27,2,1,0
Boualem Khoukhi,Qatar,49,1,6,0
Bradley Barcola,France,17,0,0,0
Bradley Barcola,France,42,2,5,0
Bradley Barcola,France,61,0,1,0
Bradley Barcola,France,78,1,3,0
Bradley Barcola,France,90,1,1,0
Bradley Barcola,France,97,0,1,0
Bradley Barcola,France,101,0,0,0
Bradley Barcola,France,103,1,2,0
Brahim Diaz,Morocco,6,0,3,0
Brahim Diaz,Morocco,30,0,6,0
Brahim Diaz,Morocco,51,0,4,0
Brahim Diaz,Morocco,76,2,2,0
Brahim Díaz,Morocco,89,1,3,0
Brahim Diaz,Morocco,97,1,3,0
