player_name,team_name,match_no,goals,assists,xg,BCM,dribbles,Chances_Created
Cecilio Waterman,Panama,23,0,0,0.06,0,0,0
Cecilio Waterman,Panama,47,0,0,0.02,0,0,1
Cédric Bakambu,DR Congo,21,0,0,0.17,0,2,1
Cédric Bakambu,DR Congo,48,0,0,0.07,0,0,0
Cédric Bakambu,DR Congo,70,0,0,0.0,0,0,0
Cedric Itten,Switzerland,26,0,0,0.0,0,0,0
Cedric Itten,Switzerland,50,0,0,0.0,0,0,0
César Blackman,Panama,23,0,0,0.04,0,0,0
César Blackman,Panama,47,0,0,0.0,0,2,0
Cesar Huerta,Mexico,28,0,0,0.0,0,1,0
Cesar Montes,Mexico,1,0,0,0.0,0,0,0
Cesar Montes,Mexico,53,0,0,0.0,0,0,0
Chadi Riad,Morocco,6,0,0,0.0,0,2,0
Chadi Riad,Morocco,30,0,0,0.0,0,0,0
Chadi Riad,Morocco,51,0,1,0.03,0,0,1
Chancel Mbemba,DR Congo,21,0,0,0.0,0,0,1
Chancel Mbemba,DR Congo,48,0,0,0.0,0,0,0
Chancel Mbemba,DR Congo,70,0,0,0.05,0,0,0
Charles De Ketelaere,Belgium,14,0,0,0.0,0,2,1
Charles De Ketelaere,Belgium,66,0,0,0.2,0,1,2
Charles Pickel,DR Congo,21,0,0,0.0,0,0,0
Charles Pickel,DR Congo,48,0,0,0.06,0,0,0
Che Adams,Scotland,7,0,0,0.58,1,0,0
Che Adams,Scotland,30,0,0,0.0,0,0,1
Che Adams,Scotland,52,0,0,0.0,0,0,0
Chemsdine Talbi,Morocco,6,0,0,0.0,0,0,0
Chemsdine Talbi,Morocco,30,0,0,0.05,0,0,1
Chris Richards,USA,4,0,0,0.03,0,0,0
Chris Richards,USA,29,0,0,0.0,0,0,0
Chris Wood,New Zealand,16,0,2,0.22,0,0,4
Chris Wood,New Zealand,40,0,0,0.06,0,0,1
Chris Wood,New Zealand,66,0,0,0.0,0,0,2
Christ Inao Oulai,Ivory Coast,11,0,0,0.03,0,0,0
Christ Inao Oulai,Ivory Coast,34,0,0,0.2,0,5,1
Christ Inao Oulai,Ivory Coast,55,0,0,0.0,0,0,0
Christian Fassnacht,Switzerland,50,0,0,0.0,0,0,0
Christian Pulisic,USA,4,0,1,0.0,0,3,2
Christian Pulisic,USA,60,0,0,0.58,1,1,1
