PLAYER,POSITION,TEAM,GOALS,ASSISTS,xG,BCM,DRIBBLES,CHANCES_CREATED,TACKLES,RECOVERIES,SAVES
David Doudera,Forward,Czechia,0.0,0.0,0.06,0.0,1.0,1.0,0.0,6.0,0.0
David Møller Wolfe,Defender,Norway,0.0,1.0,0.0,0.0,1.0,1.0,2.0,6.0,0.0
David Raum,Defender,Germany,0.0,0.0,0.03,0.0,0.0,2.0,1.0,7.0,0.0
David Zima,Defender,Czechia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davinson Sánchez,Defender,Colombia,0.0,0.0,0.13,0.0,0.0,4.0,4.0,12.0,0.0
Dayot Upamecano,Defender,France,0.0,0.0,0.0,0.0,2.0,2.0,7.0,18.0,0.0
Declan Rice,Midfielder,England,0.0,1.0,0.16,0.0,3.0,10.0,2.0,8.0,0.0
Deiver Machado,Defender,Colombia,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0
Denis Visinsky,Forward,Czechia,0.0,0.0,0.23,0.0,2.0,0.0,0.0,3.0,0.0
Denis Zakaria,Midfielder,Switzerland,0.0,0.0,0.27,0.0,1.0,0.0,3.0,5.0,0.0
Deniz Gul,Forward,Türkiye,0.0,0.0,0.59,2.0,0.0,0.0,0.0,0.0,0.0
Deniz Undav,Forward,Germany,3.0,2.0,1.52,0.0,0.0,7.0,0.0,4.0,0.0
Dennis Hadzikadunic,Defender,Bosnia and Herzegovina,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
Denzel Dumfries,Defender,Netherlands,0.0,2.0,0.38,0.0,0.0,4.0,5.0,9.0,0.0
Derek Cornelius,Defender,Canada,0.0,0.0,0.43,1.0,0.0,0.0,5.0,10.0,0.0
Deroy Duarte,Midfielder,Cape Verde,0.0,0.0,0.03,0.0,0.0,2.0,7.0,7.0,0.0
Derrick Etienne,Forward,Haiti,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Derrick Luckassen,Defender,Ghana,1.0,0.0,0.54,0.0,0.0,1.0,0.0,4.0,0.0
Désiré Doué,Forward,France,1.0,0.0,0.29,1.0,3.0,4.0,3.0,12.0,0.0
Deveron Fonville,Defender,Curaçao,0.0,0.0,0.0,0.0,5.0,1.0,5.0,11.0,0.0
Diego Gomez,Midfielder,Paraguay,0.0,0.0,0.18,0.0,3.0,2.0,7.0,14.0,0.0
Diney Borges,Defender,Cape Verde,0.0,0.0,0.14,1.0,1.0,0.0,8.0,11.0,0.0
Diogo Costa,Goalkeeper,Portugal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,9.0
Diogo Dalot,Defender,Portugal,0.0,0.0,0.03,0.0,1.0,1.0,1.0,1.0,0.0
Djed Spence,Defender,England,0.0,0.0,0.54,1.0,0.0,0.0,3.0,1.0,0.0
Djibril Sow,Midfielder,Switzerland,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0
Dodi Lukebakio,Forward,Belgium,0.0,0.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0
Dominik Livaković,Goalkeeper,Croatia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,8.0
